region,interconnect_annuity,lcoe,interconnect_capex_mw,mw,id,parent_id,level
East,1550.54,45,32000,168.966,North,,1
North,1550.54,42,32000,127.359,South,,1
South,1550.54,32,32000,173.5155,East,,1
West,1550.54,43,32000,170.802,West,,1
